VisualVHazimuth,VisualVHelevation,VisualRealazimuth,VisualRealelevation,AccousticVHmdnoLSazimuth,AccousticVHmdnoLSelevation,accousticVirtualHmdLaserazimuth,accousticVirtualHmdLaserelevation,accousticVHmdazimuth,accousticVHmdelevation,accousticRealazimuth,accousticRealelevation,accousticBlindHmdazimuth,accousticBlindHmdelevation,accousticBlindazimuth,accousticBlindelevation,VisualVHazTotal,VisualVHelTotal,VisualRealazTotal,VisualRealelTotal,accVirHmdNoLsaztotal,accVirHmdNoLseltotal,accousticVirtualHmdLaserazTotal,accousticVirtualHmdLaserelTotal,accVirHmdazTotal,accVirHmdelTotal,accRealazTotal,accRealelTotal,accBlindHmdazTotal,accBlindHmdelTotal,accBlindazTotal,accBlindelTotal
300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,-3.346416939,19.8016067,-3.145763862,33.71139674,-5.276167381,9.29379611,0.319728583,25.77353859,-1.805710781,19.46148067,-1.817569244,20.75041347,-6.671004284,28.48999934,-7.903341282,27.36283259
300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,-2.213014509,27.16598047,1.79215264,22.35064233,7.005361174,42.57575525,0.264299363,32.54548645,1.786112313,36.9225303,-4.061167146,29.55167306,-6.216277982,41.53775323,-2.909635927,37.65472711
300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,3.244574207,29.46385447,1.582160818,27.02025095,4.914232629,24.64182154,-0.505402267,26.70678139,5.09043588,30.14504878,4.086113113,29.51704279,-7.868266446,19.19445673,3.954130786,28.03707377
300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,-2.133480728,33.61364939,-3.91452092,25.93487742,2.324507773,46.68775752,-0.335163057,26.29898453,3.068843752,28.47533991,-1.857360542,27.94405177,9.415985405,42.3928509,11.65289003,38.86166193
300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,0.603978299,25.04258096,1.079486632,29.24025095,1.622402989,30.64388788,-1.294566035,27.37964249,2.087879711,28.44665277,1.488024854,37.10492838,8.055742883,35.62859094,22.66801705,31.73566568
300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,-1.608653084,22.91928125,-2.010113494,34.1395991,6.329025253,61.75191523,3.57995224,27.17051697,-1.414470927,28.88592173,0.293963774,29.86115671,-8.081777112,68.3293841,-16.13537838,46.66769816
300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,1.048884708,27.6726221,2.879638511,29.3780817,0.883206207,37.64996662,-0.341352791,28.03484917,1.121882755,29.55806674,-0.642497045,36.27701511,-8.327198666,28.9947504,0.054913479,9.594230074
300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,-0.632197459,21.12947302,-7.478671153,37.15205603,27.60190956,53.65844946,0.494524002,26.75203133,1.310179274,22.25819998,0.661099116,28.67030173,3.335447098,44.58731299,3.345897864,55.86873084
300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,0.544919428,22.10583513,1.853880551,27.27685183,3.362386491,43.36491793,-0.647621036,26.83227158,0.482936647,15.30541628,0.274552148,32.08261507,2.467351701,42.81386202,-33.37789557,62.79586428
300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,-1.004425276,14.17203148,10.97736527,57.25619133,-4.860683192,23.35319527,-0.112421043,27.23926926,1.051742446,7.478996358,-0.061693419,43.65446099,-12.84562897,25.46847924,1.059269976,28.97927102
300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,30.27221776,24.47393184,26.69882108,-27.7231998,39.40365697,27.85157542,27.47817802,29.83793068,31.48240567,20.73289256,21.17326642,33.54826503,37.72448827,45.56778483,38.54659368,20.23037868
